"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Get user me","LMS service","Sun Feb 22 16:52:21 UTC 2026","passed","Sun Feb 22 16:52:21 UTC 2026","Get entity","Users","",""
"","290","Create user","LMS service","Sun Feb 22 16:52:19 UTC 2026","passed","Sun Feb 22 16:52:20 UTC 2026","Create entity","Users","",""
"","262","Create file with empty filename","LMS service","Sun Feb 22 16:52:17 UTC 2026","passed","Sun Feb 22 16:52:17 UTC 2026","Validate entity","Files","",""
"","40","Get courses","LMS service","Sun Feb 22 16:52:12 UTC 2026","passed","Sun Feb 22 16:52:12 UTC 2026","Get entities","Courses","",""
"","40","Update course","LMS service","Sun Feb 22 16:52:11 UTC 2026","passed","Sun Feb 22 16:52:11 UTC 2026","Update entity","Courses","",""
"","531","Create user","LMS service","Sun Feb 22 16:52:19 UTC 2026","passed","Sun Feb 22 16:52:19 UTC 2026","Create entity","Users","",""
"","25","Update exercise","LMS service","Sun Feb 22 16:52:15 UTC 2026","passed","Sun Feb 22 16:52:15 UTC 2026","Update entity","Exercises","",""
"","26","Create file","LMS service","Sun Feb 22 16:52:16 UTC 2026","passed","Sun Feb 22 16:52:16 UTC 2026","Create entity","Files","",""
"","557","Create user","LMS service","Sun Feb 22 16:52:19 UTC 2026","passed","Sun Feb 22 16:52:20 UTC 2026","Create entity","Users","",""
"","21","Create exercise","LMS service","Sun Feb 22 16:52:14 UTC 2026","passed","Sun Feb 22 16:52:14 UTC 2026","Create entity","Exercises","",""
"","27","Get exercise","LMS service","Sun Feb 22 16:52:14 UTC 2026","passed","Sun Feb 22 16:52:14 UTC 2026","Get entity","Exercises","",""
"","62","Get exercises","LMS service","Sun Feb 22 16:52:15 UTC 2026","passed","Sun Feb 22 16:52:15 UTC 2026","Get entities","Exercises","",""
"","27","Delete exercise","LMS service","Sun Feb 22 16:52:16 UTC 2026","passed","Sun Feb 22 16:52:16 UTC 2026","Delete entity","Exercises","",""
"","291","Get file","LMS service","Sun Feb 22 16:52:17 UTC 2026","passed","Sun Feb 22 16:52:18 UTC 2026","Get entity","Files","",""
"","24","Delete file","LMS service","Sun Feb 22 16:52:19 UTC 2026","passed","Sun Feb 22 16:52:19 UTC 2026","Delete entity","Files","",""
"","558","Login with correct email and password","LMS service","Sun Feb 22 16:52:11 UTC 2026","passed","Sun Feb 22 16:52:11 UTC 2026","Login","Authentication","",""
"","271","Get file with incorrect file id","LMS service","Sun Feb 22 16:52:19 UTC 2026","passed","Sun Feb 22 16:52:19 UTC 2026","Validate entity","Files","",""
"","33","Create course","LMS service","Sun Feb 22 16:52:12 UTC 2026","passed","Sun Feb 22 16:52:12 UTC 2026","Create entity","Courses","",""
"","267","Create file with empty directory","LMS service","Sun Feb 22 16:52:18 UTC 2026","passed","Sun Feb 22 16:52:18 UTC 2026","Validate entity","Files","",""
